id (string),tokens (sequence),ner_tags (sequence),ner_coarse_tags (sequence)
"""10""","[ ""Denn"", ""das"", ""FG"", ""hat"", ""-"", ""für"", ""den"", ""Senat"", ""bindend"", ""("", ""§"", ""118"", ""Abs."", ""2"", ""FGO"", "")"", ""-"", ""festgestellt"", "","", ""es"", ""sei"", ""der"", ""Klägerin"", ""bewusst"", ""gewesen"", "","", ""dass"", ""sie"", ""die"", ""GmbH-Beteiligung"", ""ihrer"", ""Tochter"", ""in"", ""ihrer"", ""Steuererklärung"", ""hätte"", ""angeben"", ""müssen"", "","", ""und"", ""sie"", ""hätte"", ""erkennen"", ""können"", "","", ""dass"", ""durch"", ""das"", ""Verschweigen"", ""der"", ""Beteiligung"", ""Steuern"", ""verkürzt"", ""werden"", ""konnten"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""11""","[ ""Er"", ""kann"", ""die"", ""Abgrenzung"", ""vielmehr"", ""eigenständig"", ""vornehmen"", ""("", ""vgl"", ""BVerwG"", ""Urteil"", ""vom"", ""30."", ""1."", ""1996"", ""-"", ""1"", ""C"", ""993"", ""-"", ""RdNr"", ""17"", "")"", ""unabhängig"", ""von"", ""dem"", ""bundesrechtlichen"", ""Ärztebegriff"", ""der"", ""Bundesärzteordnung"", ""("", ""BVerwG"", ""Urteil"", ""vom"", ""25."", ""11."", ""1971"", ""-"", ""I"", ""C"", ""48.65"", ""-"", ""BVerwGE"", ""39"", "","", ""100"", "","", ""RdNr"", ""14"", "")"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 12, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 38, 38, 38, 38, 38, 38, 38, 3, 38, 12, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14, 14, 14, 14, 14, 14, 2, 14, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14 ]"
"""12""","[ ""an"", ""den"", ""Kläger"", ""zu"", ""21."", ""gesamtschuldnerisch"", ""einen"", ""Nachteilsausgleich"", """", ""Schadensersatz"", ""zu"", ""zahlen"", "","", ""dessen"", ""Höhe"", ""in"", ""das"", ""Ermessen"", ""des"", ""Gerichts"", ""gestellt"", ""wird"", "","", ""mindestens"", ""jedoch"", ""6.432,29"", ""Euro"", ""nebst"", ""Zinsen"", ""iHv."", ""fünf"", ""Prozentpunkten"", ""über"", ""Basiszins"", ""seit"", ""5."", ""Februar"", ""2014"", "";"" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""13""","[ ""Die"", ""Markenstelle"", ""hat"", ""zutreffend"", ""eine"", ""klangliche"", ""Prägung"", ""der"", ""angegriffenen"", ""Marke"", ""durch"", ""den"", ""Bestandteil"", ""„"", ""Petit"", ""Filou"", ""“"", ""bejaht"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""14""","[ ""Der"", ""englische"", ""Begriff"", ""„"", ""substantial"", ""“"", ""gehöre"", ""nicht"", ""zum"", ""englischen"", ""Grundwortschatz"", "","", ""sondern"", ""zur"", ""gehobenen"", ""Sprachebene"", ""und"", ""habe"", ""verschiedenste"", ""Bedeutungen"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""15""","[ ""Diese"", ""Regelungen"", ""zeigen"", "","", ""dass"", ""das"", ""Versorgungskapital"", ""des"", ""mit"", ""einer"", ""unverfallbaren"", ""Anwartschaft"", ""vorzeitig"", ""aus"", ""dem"", ""Arbeitsverhältnis"", ""ausgeschiedenen"", ""Arbeitnehmers"", ""nicht"", ""nach"", ""der"", ""in"", ""§"", ""2"", ""Abs."", ""1"", ""BetrAVG"", ""vorgesehenen"", ""Methode"", ""-"", ""durch"", ""Hochrechnung"", ""eines"", ""fiktiv"", ""bei"", ""einem"", ""Verbleib"", ""im"", ""Arbeitsverhältnis"", ""bis"", ""zur"", ""Vollendung"", ""des"", ""65."", ""Lebensjahres"", ""erreichbaren"", ""Versorgungsguthabens"", ""unter"", ""Festschreibung"", ""der"", ""veränderbaren"", ""Faktoren"", ""und"", ""zeitratierlicher"", ""Kürzung"", ""desselben"", ""im"", ""Verhältnis"", ""der"", ""bis"", ""zum"", ""Eintritt"", ""des"", ""Versorgungsfalls"", ""möglichen"", ""zur"", ""tatsächlichen"", ""Beschäftigungszeit"", ""-"", ""berechnet"", ""werden"", ""sollte"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""16""","[ ""Die"", ""Beschwerde"", ""gegen"", ""die"", ""Nichtzulassung"", ""der"", ""Revision"", ""in"", ""dem"", ""Urteil"", ""der"", ""17."", ""Zivilkammer"", ""des"", ""Landgerichts"", ""Dortmund"", ""vom"", ""30."", ""Juni"", ""2017"", ""wird"", ""auf"", ""Kosten"", ""der"", ""Kläger"", ""als"", ""unzulässig"", ""verworfen"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 2, 21, 21, 21, 21, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 3, 10, 10, 10, 10, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""17""","[ ""Das"", ""rechtfertigt"", ""es"", "","", ""macht"", ""es"", ""aber"", ""nach"", ""dem"", ""Plan"", ""des"", ""Gesetzgebers"", ""auch"", ""erforderlich"", "","", ""sie"", ""abweichend"", ""vom"", ""Bereicherungsrecht"", ""zur"", ""Herausgabe"", ""des"", ""Veräußerungserlöses"", "","", ""mindestens"", ""aber"", ""des"", ""Verkehrswerts"", ""entsprechend"", ""§"", ""8"", ""Abs."", ""4"", ""Satz"", ""2"", "","", ""§"", ""13"", ""Abs."", ""2"", ""Sätze"", ""1"", ""und"", ""4"", ""VZOG"", ""zu"", ""verpflichten"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 14, 14, 14 ]"
"""18""","[ ""Der"", ""geltende"", ""Patentanspruch"", ""1"", ""des"", ""Hilfsantrags"", ""1"", ""("", ""hier"", ""mit"", ""einer"", ""denkbaren"", ""Gliederung"", ""und"", ""der"", ""Kennzeichnung"", ""der"", ""Unterschiede"", ""zu"", ""Anspruch"", ""1"", ""nach"", ""Hauptantrag"", ""versehen"", "")"", ""lautet"", "":"" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""19""","[ ""D2"", ""einen"", ""Ausgangsstrom"", ""("", ""IMp"", "")"", ""der"", ""Spannungsbereitstellungsschaltung"", ""("", ""25"", "")"", ""auf"", ""einen"", ""vorherbestimmten"", ""Maximalwert"", ""zu"", ""begrenzen"", "","" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""20""","[ ""aa"", "")"", ""Für"", ""die"", ""Geltendmachung"", ""des"", ""Anwendungsvorrangs"", ""des"", ""Unionsrechts"", ""ist"", ""es"", ""deshalb"", ""unbeachtlich"", "","", ""dass"", ""der"", ""sich"", ""auf"", ""unionsrechtliche"", ""Bestimmungen"", ""berufende"", ""Steuerpflichtige"", ""selbst"", ""nicht"", ""Steuerschuldner"", "","", ""sondern"", ""("", ""vorsteuerabzugsberechtigter"", "")"", ""Abnehmer"", ""einer"", ""Lieferung"", ""ist"", "","", ""ohne"", ""die"", ""Steuer"", ""hierfür"", ""als"", ""Leistungsempfänger"", ""nach"", ""§"", ""13b"", ""UStG"", ""zu"", ""schulden"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 3, 22, 22, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 9, 9, 14, 14, 14 ]"
"""21""","[ ""5."", ""Damit"", ""ein"", ""Erzeugnis"", ""für"", ""den"", ""angesprochenen"", ""Fachmann"", ""als"", ""zum"", ""Schutzgegenstand"", ""des"", ""Grundpatents"", ""gehörig"", ""erkennbar"", ""ist"", "","", ""muss"", ""der"", ""fragliche"", ""Wirkstoff"", ""nach"", ""den"", ""Vorgaben"", ""des"", ""Gerichtshofs"", ""zwar"", ""in"", ""den"", ""Patentansprüchen"", ""nicht"", ""explizit"", ""genannt"", ""werden"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""22""","[ ""So"", ""ergeben"", ""sich"", ""die"", ""Merkmal"", ""M2c"", ""und"", ""M7"", ""aus"", ""den"", ""Absätzen"", ""["", ""0005"", ""]"", ""und"", ""["", ""0015"", ""]"", ""der"", ""OS"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""23""","[ ""Gleichwohl"", ""könnten"", ""auch"", ""bei"", ""der"", ""Bewertung"", ""des"", ""Grundvermögens"", ""allein"", ""aus"", ""verfassungsrechtlichen"", ""Gründen"", ""auf"", ""einem"", ""übermäßig"", ""langen"", ""Hauptfeststellungszeitraum"", ""beruhende"", ""Wertverzerrungen"", ""nicht"", ""hingenommen"", ""werden"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""24""","[ ""Bei"", ""deutscher"", ""Aussprache"", ""wiederum"", ""ist"", ""davon"", ""auszugehen"", "","", ""dass"", ""das"", ""ausgelassene"", ""„"", ""e"", ""“"", ""in"", ""„"", ""p"", ""‘"", ""tit"", ""“"", ""mitgesprochen"", ""wird"", "","", ""so"", ""dass"", ""sich"", ""klanglich"", ""identisch"", ""„"", ""petit"", ""“"", ""und"", ""„"", ""petit"", ""“"", ""gegenüber"", ""stehen"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""25""","[ ""Dies"", ""sei"", ""hier"", ""nicht"", ""der"", ""Fall"", ""gewesen"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""26""","[ ""Berufungsverwerfungsbeschluss"", "":"", ""Inhaltliche"", ""Anforderungen"", ""bei"", ""Verwerfung"", ""wegen"", ""Nichterreichens"", ""der"", ""Berufungssumme"" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""27""","[ ""Dies"", ""wird"", ""allein"", ""unter"", ""der"", ""Voraussetzung"", ""durchbrochen"", "","", ""dass"", ""eine"", ""Vertrauensgrundlage"", ""für"", ""eine"", ""sinnvolle"", ""Fortsetzung"", ""des"", ""Arbeitsverhältnisses"", ""nicht"", ""mehr"", ""besteht"", ""("", ""vgl."", ""BT-Drs."", ""12090"", ""S."", ""13"", "")"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 7, 26, 26, 26, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 0, 7, 7, 7, 14, 14 ]"
"""28""","[ ""b"", "")"", ""Von"", ""diesen"", ""Widersprüchen"", ""abgesehen"", ""lassen"", ""die"", ""Ausführungen"", ""des"", ""Landgerichts"", ""zudem"", ""besorgen"", "","", ""dass"", ""es"", ""dem"", ""Fehlen"", ""wesentlicher"", ""Ausfallerscheinungen"", ""bei"", ""Feststellung"", ""des"", ""Angeklagten"", ""am"", ""Unfallort"", ""eine"", ""zu"", ""große"", ""Bedeutung"", ""bei"", ""der"", ""Schuldfähigkeitsbeurteilung"", ""beigemessen"", ""hat"", ""."" ]","[ 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38 ]","[ 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 ]"
"""29""","[ ""..."" ]",[ 38 ],[ 14 ]
"""30""","[ ""Das"", ""Bundesverfassungsgericht"", ""darf"", ""von"", ""seiner"", ""Befugnis"", "","", ""den"", ""Vollzug"", ""eines"", ""Gesetzes"", ""auszusetzen"", "","", ""nur"", ""mit"", ""größter"", ""Zurückhaltung"", ""Gebrauch"", ""machen"", "","", ""weil"", ""dies"", ""einen"", ""erheblichen"", ""Eingriff"", ""in"", ""die"", ""originäre"", ""Zuständigkeit"", ""des"", ""Gesetzgebers"", ""darstellt"", ""("", ""vgl."", ""BVerfGE"", ""104"", "","", ""23"", ""<"", ""27"", "">"", "";"", ""104"", "","", ""51"", ""<"", ""55"", "">"", "";"", ""112"", "","", ""216"", ""<"", ""220"", "">"", "";"", ""112"", "","", ""284"", ""<"", ""292"", "">"", "";"", ""122"", "","", ""342"", ""<"", ""361"", "">"", "";"", ""131"", "","", ""47"", ""<"", ""61"", "">"", "";"", ""140"", "","", ""99"", ""<"", ""106"", ""f."", "">"", "";"", ""140"", "","", ""211"", ""<"", ""219"", "">"", "";"", ""stRspr"", "")"", ""."" ]","[ 38, 2, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 12, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 38, 38, 38, 38 ]","[ 14, 3, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14, 14, 14 ]"
